user,location,text
MarinRamosYuli,"La Gabarra, Tibú",¿Para cuándo la investigación a @IvanDuque y a @COMANDANTE_EJC   ? #quintero
MiguelSanabri,,"Hoy más que nunca, colombia es una hermana bolivariana. #elcambioesenprimera #Quintero"
ElTxico19,,"¿No parece justo, verdad?

#Quintero #ElCambioEnPrimera #GolpeDeEstado https://t.co/2t1PxqQywn"
GM1CALIPTO,México,"#maidana #quintero #pinola #armani #alvarez y un debut 
#Calipto https://t.co/TpbiIKdEwi"
micasanoestuya,Bogotá,Desproporcionada la acción en contra de #Quintero. Y sobreactuada la reacción de este. La política como espectáculo… https://t.co/lQUgV9GAl5
Xandrex04,Colombia,"Me huele que a Cabello le va a salir todo mal JAJAJAJA, esto favorece al Pacto histórico, veamos el lado positivo.… https://t.co/WMp7QTxiv5"
MetArmada_Valp,"Carvallo 150, Playa Ancha",Temperaturas Mínimas obtenidas durante esta mañana #Miércoles 11 de #Mayo  en las estaciones meteorológicas del ter… https://t.co/QJ2qJvGzCd
Juanfgut,"Barranquilla, Colombia",Se había demorado. #Quintero https://t.co/uYJ1TrvRRb
StefanBravo3,"Medellín, Colombia","#Quintero
#QuietoEnPrimera
#QuinteroSeVa
#QuintoRetiroUrgente
#Revocatoriaya
#Medellín
@QuinteroCalle te vamos saca… https://t.co/CaRGACgjxI"
IRMO_DE_JESUX,Desde cualquier lugar de #Mund,"@AlvaroUribeVel Señor #Matarife no le mienta más al país, #Quintero fue el único alcalde que no ejecuto presupuesto… https://t.co/lOV4RUMlJh"
eo_enlinea,Región de Valparaíso,"#QUINTERO.- Sujetos se desplazaban con distintas drogas en un vehículo robado, avaluado en $16 millones de pesos:… https://t.co/LxKw0zAVKn"
publieEpana,"Comunidad de Madrid, España",Será que el Ex alcalde #Quintero no debería tomar las gotas de valeriana del presidente Uribe(?) lo noto como ansioso y angustiado
