user,location,text
fermartico,,"Al final le doy las gracias a la procuradora de bolsillo por hacer viral el #ElCambioEnPrimera 
#ElCambioEnPrimera… https://t.co/FdzT6OKHSu"
sagit19_,"Bucaramanga, Colombia",Felicitaciones a todos los integrantes del @PactoCol @PactoHistorico por su loable labor para que esté #29M logremo… https://t.co/UmeHWvNSZs
NoMasUribeNO,Colombia,@Luis10337702 @PGN_COL El presente de Colombia es igual a Venezuela: Gobierno (uribista) viola de frente la constit… https://t.co/Xif5oUYt4b
CatheWalls,,"#ElCambioEnPrimera porque es imposible ver #Batman y no poder dejar de pensar en Colombia, que horror 😔"
Gonzalo53554979,Bogotá,#ElCambioEnPrimera #QueSancionenA ⚠️MUY GRAVE ⚠️que el alcalde de Medellín @QuinteroCalle se burle de la SANCION ⚠️… https://t.co/0NVqKsulNm
datoatipico,Colombia,El Uribismo esperando que en la encuesta saliera derrumbado @petrogustavo e inflado Federico Gutiérrez. Pero todo e… https://t.co/txrO1CuwqS
Dr_Soul2Squeeze,,"#ElCambioEnPrimera Cada vez es mas claro el patron: entorpecer, retrasar, uribizar ... están Petrificados del miedo a perder el poder. 🧐🤨🤔"
Magalivelez14,,"@QuinteroCalle Abrazados por la paz, con la nueva generación. #ElCambioEnPrimera ."
Fernandogalle_,,"@QuinteroCalle Como hermanos por un país nuevo, con el pacto de la transparencia. #ElCambioEnPrimera ."
CarlosMe89,,"@QuinteroCalle Con amor por un país nuevo, con el Pacto Histórico. #ElCambioEnPrimera ."
lfredobocanegra,Colombia,Dani se convirtió en el Doña Mechas con juanpa #ElCambioEnPrimera
dalejog91,"Bucaramanga, Colombia",#ElCambioEnPrimera se viene... https://t.co/5ZYeJ80COu
Carolinalao27,,#ElCambioEnPrimera es imparable! 🙌
Luis10337702,,"?@PGN_COL para cuando estos otros  alcaldes?
#ElCambioEnPrimera 
#ProcuradoraFascista 
#ProcuraduriaDeBolsillo https://t.co/OL5nzIY3wu"
Ricardorio40,,"@QuinteroCalle Como hermanos por nuestro futuro, con el pacto de la transparencia. #ElCambioEnPrimera ."
jhon1225346,,Con urgencia lo necesitamos. Vamos si se puede #ElCambioEnPrimera
YesidGarci2,,"@QuinteroCalle Vamos por un renacer, con el pacto de la transparencia. #ElCambioEnPrimera ."
alex5058,"Medellín, Colombia","@petrogustavo Vamos a derrotalos 
#ElCambioEnPrimera 
#UribeParacoHpta"
dafemoro79,"Bogotá, D.C., Colombia",Y aquí si no pasa ni mierda. #ElCambioEnPrimera https://t.co/rIklU3xZV5
jo_gir,"La Calera, Colombia","Gracias a Margarita Cabello procuradora Uribista tendremos:
Gustavo Petro Presidente en Primera Vuelta 2022-2026 y… https://t.co/yUPrNdSnRD"
OMMEBC,,"@tavo2366 Por eso ya no hay excusa 

#ElCambioEnPrimera 
#ElCambioEnPrimera 
#ElCambioEnPrimera 
#ElCambioEnPrimera… https://t.co/le3VmNJ15W"
cristiandmejia,,"Déjelo que se ría mientras pueda, que a partir del 29 sonríe Colombia entera,duela le a quien le duela… https://t.co/tkMQ0HQYjd"
LinaZea9,,"@QuinteroCalle Como familia por el cambio, con Petro. #ElCambioEnPrimera ."
Resistenciamul1,,@NoticiasRCN @JOSEAQUILINOMON @petrogustavo @FicoGutierrez @ingrodolfohdez @sergio_fajardo En la nuestra gana Petro… https://t.co/a4IBodappW
Andreslp19,Colombia,"#QueSancionenA NO solo a Quintero, también a Duque por permitir el Asesinato de un Fiscal Paraguayo que estaba de V… https://t.co/eNXc36pPXQ"
