user,location,text
CrisMov,Bogotá,"Con lo del Jamming, se puede decir qué se pasó muy bueno en las versiones anteriores y pues con ésta se muere para… https://t.co/WpYxJYF3lo"
aleja26berrio,,Me encanta ver como un artista reconocido como @SantiCruz ayuda a esparcir info para ayudar a los afectados por la… https://t.co/AUkyRYDxHn
__mariafeliz,,"Después de la cancelada del Jamming, mi día si pudo terminar feliz. https://t.co/UfAbC6sUlL"
_AndreaCruzz,"Bogotá, Colombia.","Y ahora que paso con el Jamming, cada vez que veo que es tendencia es un cancelado más jaja"
MalditoCejon,"Medellín, Colombia",Polo Polo marcándose un Jamming con su curul 😅
danielparal_es,,vea pero tan chevere que todos tenian platica pal jamming y tiqueticos pa ibague y holelitos listos y full drogas ¿… https://t.co/DQK08AGP9x
jesusnav9,"Bogotá, Colombia.",Que triste lo del Jamming y que impotencia por los que pagaron y les robaron de frente
EliAcosta__,,"La pelada que se mandó hacer dreadlocks Pal Jamming, llegando el martes a trabajar https://t.co/dzKL1GCMyg"
KarenYiiPedroza,"Aguachica, Colombia",Triste lo de los emprendedores del Jamming 😢
alejzuluaga,Locombia,@CONCEJALWROSAS Lo propuse antes del tal Plan de contingencia... Así como puse a disposición mis redes para promoci… https://t.co/O7VpvUGW0D
alejolopezq,,"Jamming          Polo Polo
                   🤝
  Perderlo todo en un solo día"
jimmyfabricio67,"Bogotá, D.C., Colombia",James es tan chimbo como el Jamming....
raikantopinico,Colombia,[NO BL] Chicxs de Colombia 🇨🇴 como ya saben el Jamming se canceló y muchxs emprendedorxs dieron todos sus ahorros y… https://t.co/q3ef5OuVbi
valetinaperezd6,Stantem in aulam famae.,Entiendo a los del Jamming me paso igual en Playa del Carmen con el Departure 🥺🤯
ViajesDeAstro,Bogotá,"Esta idea de @valelotero me parece la mejor. 

Hagamos un #Jamming pa la gente que necesite comida en Ibagué y sus… https://t.co/uN0PFrHcpa"
lagosbruce,"Bogota D.C, Colombia","Nada describía tan bien a este platanal como DMG, hasta que llegó el Jamming a innovar. #JammingFestival2022Estafa"
dinastiaflorez1,Shangri-La,"@Betocoralg Q prolijidad.

Q bueno sería q también investigaras q implicación tuvo tu padre en las masacres q ""los… https://t.co/00zVxS7aGD"
kgonorreaome,"Bogotá, Colombia.","No hay Jamming, pero tampoco curul para Polo Polo. Dios nos quita, Dios nos da."
NVelandiaB,"Bogotá, D.C., Colombia","Se robaron las elecciones y cancelaron el Jamming
Pana vivir en Colombia es un constante XD para no morirse de la p… https://t.co/fsUl8XhAdP"
QueenYennyC,,@SaariKlz Qué era ese Babylon y qué relación tiene con el Jamming?
jcamilorv,Colombia,"#SOSJAMMING
""El Jamming se canceló y mientras se comparten memes en redes sociales comparándolo con el Fyre Festiva… https://t.co/lFCGxHlHa1"
JoseMendez76,"Bogota, Colombia",@Julianaramirez6 @DanielSamperO @MONYRODRIGUEZOF Buenas noches. Con respecto a lo que ocurrió con el festival Jammi… https://t.co/BtgYd1k598
JEISSONRAYOCO,Bogotá Colombia ,No se sabe si que es más grave ¿ el fraude electoral de la @Registraduria o el escándalo del Jamming Festival 2022… https://t.co/T59auHI3HJ
heramo10,,"No se pero lo de Jamming era como medio obvio no? Desde un inicio cuando lanzaron ese line up tan cargado y bueno, ya era sospechoso..."
sebvargas1022,"Bogota, Colombia","No todo son malas noticias, Polo Polo pierde la Curul!!! Ojalá hubiera llegado la noticia mas temprano para pasar la amargura del Jamming."
jackieghisays,Monteria-colombia,Ese jamming fest lo organizó DMG producciones
ContraGodarria,"Bogotá, D.C., Colombia","Deberían hacer en Ibagué un Burning Man en honor a la quemada de Polo Polo.

Eso que Jamming ni que carajos 😂😂😂😂😂😂😂😂"
Carlosa61629478,Toronto Canada,"No se sabe quiénes son más delincuentes, si los que organizaron el tal JAMMING FESTIVAL y que tumbaron a Miles de p… https://t.co/M7BB7QEA0F"
Johan_Phoenix_,Medellín ,Se cancela el Jamming / Polo Polo pierde su curul https://t.co/0lKSBljWGS
jav1h3r,Colombia,Los que creyeron que el cartel del Jamming era cierto. 🤡🤡🤡
crlsrodriguez,"Bogotá, Colombia",Otra embarrada del Jamming Festival. Le quedaron mal a los fans más hardcore y de su nicho por abrirlo a otro públi… https://t.co/Hf5NcTJUB6
